POD_Site_Name,Address,Borough,Zip,Longitude,Latitude,POD_ID,Operations_Status,Wait_Time,Latest_Update_Date,Latest_Update_Time,Opening_Date,Opening_Time
K001 - P.S. 1 Bergen,309 47th Street,Brooklyn,11220,-74.01229,40.64903,465,Open to Public,5,1/10/2019,3:54 PM,1/12/2019,12:00 PM
K016 - P.S. 16 Leonard Dunkly,157 Wilson Street,Brooklyn,11211,-73.96148,40.70602,478,Open to Public,5,1/10/2019,3:54 PM,1/12/2019,12:00 PM
K043 - I.S. 98 Bay Academy,1401 Emmons Avenue,Brooklyn,11235,-73.95404,40.58312,988,Open to Public,5,1/10/2019,3:54 PM,1/12/2019,12:00 PM
K055 - I.S. 55,2021 Bergen Street,Brooklyn,11233,-73.91327,40.6741,606,Open to Public,5,1/10/2019,3:54 PM,1/12/2019,12:00 PM
K071 - I.S. 71 Juan Morel Campos,215 Heyward Street,Brooklyn,11206,-73.95315,40.70362,3005,Open to Public,5,1/10/2019,3:54 PM,1/12/2019,12:00 PM
K088 - I.S. 88 Peter Rouget,544 7th Avenue,Brooklyn,11215,-73.98764,40.66002,491,Open to Public,5,1/10/2019,3:54 PM,1/12/2019,12:00 PM
K094 - P.S. 94 Henry Longfellow,5010 6th Avenue,Brooklyn,11220,-74.00825,40.64365,494,,,,,,
K097 - P.S. 97 Highlawn,1855 Stillwell Avenue,Brooklyn,11223,-73.98614,40.60143,996,,,,,,
K126 - J.H.S 126 John Ericsson,424 Leonard Street,Brooklyn,11222,-73.94863,40.71981,881,,,,,,
K131 - P.S. 131,4305 Fort Hamilton Parkway,Brooklyn,11219,-73.99348,40.64115,404,,,,,,
K135 - P.S. 135 Sheldon A Brookner,684 Linden Boulevard,Brooklyn,11203,-73.93312,40.65363,421,Open to Public,10,1/10/2019,3:54 PM,1/12/2019,12:00 PM
K138 - P.S. 138,760 Prospect Place,Brooklyn,11216,-73.95144,40.67437,617,Open to Public,10,1/10/2019,3:54 PM,1/12/2019,12:00 PM
K142 - P.S. 146,610 Henry Street,Brooklyn,11231,-74.00138,40.68006,1004,Open to Public,10,1/10/2019,3:54 PM,1/12/2019,12:00 PM
K175 - Teacher's Prep High School,226 Bristol Street,Brooklyn,11212,-73.91171,40.66587,1310,Open to Public,10,1/10/2019,3:54 PM,1/12/2019,12:00 PM
K179 - P.S. 179 Kensington,202 Avenue C,Brooklyn,11218,-73.97764,40.64046,1012,Open to Public,10,1/10/2019,3:54 PM,1/12/2019,12:00 PM
K181 - P.S. 181,1023 New York Avenue,Brooklyn,11203,-73.94637,40.64821,561,Open to Public,10,1/10/2019,3:54 PM,1/12/2019,12:00 PM
K186 - P.S. 186 Dr. Irving A Gladstone,7601 19th Avenue,Brooklyn,11214,-73.99468,40.61148,568,Open to Public,20,1/10/2019,3:54 PM,1/12/2019,12:00 PM
K196 - P.S. 196,207 Bushwick Avenue,Brooklyn,11206,-73.94,40.70872,571,Open to Public,20,1/10/2019,3:54 PM,1/12/2019,12:00 PM
K205 - P.S. 205 Clarion,6701 20th Avenue,Brooklyn,11204,-73.98715,40.61526,474,Open to Public,20,1/10/2019,3:54 PM,1/12/2019,12:00 PM
K217 - P.S. 217 Colonel David Marcus,1100 Newkirk Avenue,Brooklyn,11230,-73.96656,40.63397,479,Open to Public,20,1/10/2019,3:54 PM,1/12/2019,12:00 PM
K219 - P.S. 219 Kennedy-King,1060 Clarkson Avenue,Brooklyn,11212,-73.92292,40.65928,1035,Open to Public,20,1/10/2019,3:54 PM,1/12/2019,12:00 PM
K222 - P.S. 222 Katherine Snyder,3301 Quentin Road,Brooklyn,11234,-73.93887,40.61331,916,Open to Public,20,1/10/2019,3:54 PM,1/12/2019,12:00 PM
K233 - P.S. 233 Langston Hughes,9301 Avenue B,Brooklyn,11236,-73.91402,40.65102,1039,Closed to Public,20,1/10/2019,3:54 PM,,
K234 - J.H.S. 234 Arthur W. Cunningham,1875 East 17th Street,Brooklyn,11229,-73.95548,40.60421,1040,Closed to Public,20,1/10/2019,3:54 PM,,
K256 - P.S. 256 Benjamin Banneker,114 Kosciuszko Street,Brooklyn,11216,-73.95043,40.69072,508,Closed to Public,20,1/10/2019,3:54 PM,,
K258 - I.S. 258 David Ruggles,141 Macon Street,Brooklyn,11216,-73.94545,40.68156,510,Closed to Public,20,1/10/2019,3:54 PM,,
K288 - P.S. 288 Shirley Tanyhill,2950 West 25th Street,Brooklyn,11224,-73.99194,40.5744,1060,Closed to Public,30,1/10/2019,3:54 PM,,
K296 - I.S. 296 Halsey School,125 Covert Street,Brooklyn,11214,-73.91028,40.68838,926,Closed to Public,30,1/10/2019,3:54 PM,,
K302 - J.H.S. 302 Rafael Cordero,350 Linwood Street,Brooklyn,11208,-73.88343,40.6771,3010,Closed to Public,30,1/10/2019,3:54 PM,,
K306 - P.S. 306 Ethan Allen,970 Vermont Street,Brooklyn,11207,-73.88655,40.65599,1062,Closed to Public,30,1/10/2019,3:54 PM,,
K313 - Adams Street Campus,283 Adams Street,Brooklyn,11201,-73.98884,40.69492,3011,Closed to Public,30,1/10/2019,3:54 PM,,
K314 - P.S. 314,330 59th Street,Brooklyn,11220,-74.019,40.64211,463,Closed to Public,30,1/10/2019,3:54 PM,,
K324 - I.S. 324,800 Gates Avenue,Brooklyn,11221,-73.93228,40.68831,515,,,,,,
K345 - P.S. 345 Robert Boldon,111 Berriman Street,Brooklyn,11208,-73.88034,40.67612,872,,,,,,
K395 - P.S. 109,1001 East 45th Street,Brooklyn,11203,-73.93358,40.63645,528,,,,,,
K400 - Lafayette High School,2630 Benson Avenue,Brooklyn,11219,-73.98577,40.59428,930,,,,,,
K410 - Abraham Lincoln High School,2800 Ocean Parkway,Brooklyn,11235,-73.96731,40.58167,931,,,,,,
K420 - Franklin K. Lane High School,999 Jamaica Avenue,Brooklyn,11208,-73.87019,40.6907,886,,,,,,
